Name,Category,Price,גובה,השקיה,שימושים,Tag,Description,Stock,Thumbnail,תמונה,,
נר הלילי הוורוד,רב שנתיים,,30 סמ',בינונית,גינה,שמש מלאה,,0,https://cdn.store.link/products/galednp/w3lp6b-%D7%A0%D7%A8%20%D7%9C%D7%99%D7%9C%D7%94%20%D7%95%D7%A8%D7%95%D7%93.jpg?versionId=qgTsyunFW7U0wWNlHTPJd5jvC75KR2Sq,,,
מרווה הוט ליפסט,רב שנתיים,,60 סמ',בינונית,גינה,שמש מלאה או חלקית,,1,https://cdn.store.link/products/store7222/qyaxoc-%D7%9E%D7%A8%D7%95%D7%95%D7%94%20%D7%94%D7%95%D7%98%20%D7%9C%D7%99%D7%A4%D7%A1%D7%98.jpeg?versionId=lxQuPNevFibwLOs1k_t5IjTkohVA8fkB,,,
פנטס,רב שנתיים,,50 סמ',בינונית עד רבה,"עציץ גדול, גינה","שמש, צל חלקי",,0,https://al-haderech.co.il/wp-content/uploads/2020/04/IMG_0041-scaled.jpg,,,
ציפורן ריחנית,רב שנתיים,,20 סמ',בינונית,"עציצים, גינה","שמש, הצללה חלקית",,2,https://cdn.store.link/products/galednp/4rwzwn-%D7%A6%D7%99%D7%A4%D7%95%D7%A8%D7%9F%20%D7%A8%D7%99%D7%97%D7%A0%D7%99%D7%AA%20%D7%95%D7%A8%D7%95%D7%93%D7%94%20%D7%90.jpg?versionId=bjfvvKYIH4yzDg6TRf7vkszD6OT2qMcP,,,
דושן לבן גזור - עלים,רב שנתיים,,עד 30 סמ',בינונית,"עציצים, תליה, גינה",שמש מלאה,,15,https://cdn.store.link/products/galednp/hei-4u-%D7%93%D7%95-%D7%A9%D7%9F%20%D7%9C%D7%91%D7%9F%20%D7%92%D7%96%D7%95%D7%A8%20%D7%A2%D7%9C%D7%99%D7%9D%20.png?versionId=WdgB5m93VyeAd6BuuBccWREq9LYrfrrB,,,
ליפופית הבטטה עלה ירוק,רב שנתיים,,"30 סמ', ענפים עד 4 מ' מטפסים או משתרעים",בינונית-שופעת,"סלסילה תלויה, כיסוי שטח, משתפל מעבר לקיר או גדר","שמש ישירה, הצללה חלקית, כיסוי קרקע",,3,https://cdn.store.link/products/galednp/-2156m-img_20201213_145127%D7%91%D7%98%D7%98%D7%94.jpg?versionId=4lDEz0gNq_g1pGiv9FNdU0nUTshz1fmO,,,
עינן מסרקני,רב שנתיים,,עד 60 סמ',"מועטה, בינונית",גינה,"שמש ישירה, צל חלקי",,0,https://cdn.store.link/products/galednp/yxvl1v-20180425_093342%20%D7%A2%D7%99%D7%A0%D7%9F%20%D7%9E%D7%A1%D7%A8%D7%A7%D7%A0%D7%99%20%D7%90.jpg?versionId=WzhYM3vye1f0oY6Q9_K4GJOviKVwg2HP,,,
המיגרפיס סירוגי,רב שנתיים,,עד 40 סמ',מרובה סדירה,"סלסילה תלויה,מיכל, ערוגה",הצללה חלקית,,0,https://cdn.store.link/products/galednp/20f8nm-%D7%94%D7%9E%D7%99%D7%92%D7%A8%D7%A4%D7%99%D7%A1%20%D7%A1%D7%99%D7%A8%D7%95%D7%92%D7%99%20%D7%90.jpg?versionId=wn36J_4ANa89MXzfR5woLA1uoUcutP7k,,,
קוראופסיס גדול פרחים,רב שנתיים,,"40 סמ', גיזום פרחים נבולים מעודד פריחה ממושכת",בינונית,ערוגות פרחים,"שמש, הצללה חלקית",,20,https://cdn.store.link/products/galednp/ctk1dp-img_1895%20%D7%A7%D7%95%D7%A8%D7%90%D7%95%D7%A4%D7%A1%D7%99%D7%A1%20%D7%92%D7%93%D7%95%D7%9C-%D7%A4%D7%A8%D7%97%D7%99%D7%9D%20%D7%90.jpg?versionId=VlaAtQ5Q7izniYKlz_eWI4bwvxQzPkEd,,,
"חרצית הגננים ""נטף""",רב שנתיים,,"עד 30 סמ', גיזום אחרח כל גל פריחה",בינונית עד מעעטה,"ערוגות, עציצים, מיכלים","שמש, הצללה חלקית",,0,https://cdn.store.link/products/galednp/qqpdoy-1419789717947%20%20%D7%90%20%D7%90%D7%97%D7%A8%D7%A6%D7%99%D7%AA%20%D7%A0%D7%98%D7%A3.jpg?versionId=mO5nH46Z66_8l5uOrbGTkeN.bZfC5zQF,,,
רואליה בריטון פרח ורוד,רב שנתיים,,עד 40 סמ',בינונית,"גינה,מיכל","שמש, צל חלקי",,0,https://cdn.store.link/products/galednp/kb14li-20240708_082605%D7%A8%D7%95%D7%90%D7%9C%D7%99%D7%94%20%D7%91%D7%A8%D7%99%D7%98%D7%95%D7%9F%20%D7%90.jpg?versionId=.Nl9mrs_NzUQDOjpCVL3gXEC7hv5DNDE,,,
פלקטרנטוס מונה לוונדר,רב שנתיים,,עד 1 מ',רגילה,גינה,מקום מואר ללא שמש ישירה,,0,https://cdn.store.link/products/galednp/ysi10m-%D7%A4%D7%9C%D7%A7%D7%98%D7%A8%D7%A0%D7%98%D7%95%D7%A1%20%D7%9E%D7%95%D7%A0%D7%94%20%D7%9C%D7%91%D7%A0%D7%93%D7%A8.jpg?versionId=Y9Hh7Dit.lBxIeVO4EVtnizaanOjDfZd,,,
בגוניה דרגון,רב שנתיים,,עד 40 סמ',בינונית,"גינה, מיכל",צל חלקי עד צל מלא,,0,https://cdn.store.link/products/galednp/0zk8zw-img_20200805_184549%D7%91%D7%92%D7%95%D7%A0%D7%99%D7%94%20%D7%93%D7%A8%D7%90%D7%92%D7%95%D7%9F.jpg?versionId=Km8PzDJIun3i2O0.cl_QJ9EArR_opjB1,,,
דשא יפני כסוף,רב שנתיים,,עד 10 סמ',בינונית,כיסוי שטח,שמש הצללה חלקית,,7,https://cdn.store.link/products/galednp/pp2-sf-20180422_135217%20%20%D7%93%D7%A9%D7%94%20%D7%99%D7%A4%D7%A0%D7%99%20%D7%9B%D7%A1%D7%95%D7%A3%20%D7%90.jpg?versionId=QiSF_EKyPZwCutb3LCDqGObhwzT2XpQG,,,
רואליה ריסנית,רב שנתיים,,25 סמ -עד 40 סמ',בינונית,"צמח כיסוי, תלייה בעציצים",שמש מלאה עד צל,,8,https://cdn.store.link/products/galednp/reqy31-8e01b67e67f859c68d0dff4d24c9a9c6%5B1%5D%D7%A8%D7%95%D7%90%D7%9C%D7%99%D7%94%20%D7%A8%D7%99%D7%A1%D7%A0%D7%99%D7%AA%20%D7%90%20.jpg?versionId=ya336eT7b9IF6sLEMfBoiwsIriKJ86dv,,,
עגבניות שרי,שתילי ירקות אורגנים,,עד 1 מ',"בינונית, ניקוז","גינת ירקות, גידול במיכלים",שמש מלאה,,0,https://media.aeropage.io/api/imgcache/token/dfae8fbc5d007a104bfa8684917d9802/recVAlN4bKiKrXeBF?size=full,,,
מלפפונים,שתילי ירקות אורגנים,,עד 1 מ',"בינונית, נוקוז","גינת ירקות, גידול במיכלים",שמש מלאה,,0,https://media.aeropage.io/api/imgcache/token/dfae8fbc5d007a104bfa8684917d9802/rec6uuAozkE0kKdMx?size=full,,,
ריחן רחב עלים,תבלינים,,30 סמ',בינונית - מרובה,לתיבול מאכלים,"שמש ישירה, הצללה חלקית",,0,https://cdn.store.link/products/galednp/cdktnu-%D7%A8%D7%99%D7%97%D7%9F%20%D7%94%D7%91%D7%96%D7%99%D7%9C.jpg?versionId=3lM6b6pWihF.aUv9sphk7Tls6rqwRQjh,,,
לואיזה (ליפיה לימונית),תבלינים,,עד 1.5 מ',בינונית,"מיכל גדול, ערוגת תבליניםץ העלים - לחליטה תה,",שמש מלאה והצללה חלקית,,0,https://cdn.store.link/products/galednp/17mjtw-%D7%9C%D7%95%D7%90%D7%99%D7%96%D7%9420240518_195544%20%281%29.jpg?versionId=R1AJIDPrrOYRUgjziXqmMMyK8hIHjS.Z,,,
מליסה רפואית,תבלינים,,עד 70 סמ',בינונית עד מרובה,"שתילה במיכל, בגינה, עלים לסלטים וחליטת תה",הצללה חלקית או מלאה,,0,https://cdn.store.link/products/galednp/wfi45b-%D7%9E%D7%9C%D7%99%D7%A1%D7%94%20%D7%A8%D7%A4%D7%95%D7%90%D7%99%D7%AA%2020240518_145321.jpg?versionId=MhQVckX.XFS_BKfxWW5_lZZ8k9ObQ0M6,,,
סטיביה,תבלינים,,60 סמ',בינונית עד מרובה,"שתילה במיכל, בגינה, עלים לסלטים וחליטת תה","הצללה חלקית, שמש",,0,https://cdn.store.link/products/galednp/7fwnka-%D7%A1%D7%98%D7%99%D7%91%D7%99%D7%9420240518_145252.jpg?versionId=D9E78.nMhzP53CVRcObVXk5PP4XM9Lmp,,,
מרווה רפואית,תבלינים,,70 סמ',מועטה - בינונית,"מיכל, בגינה קבוצות, כיסוי שטח. העלים משמשים למאכלי בשר, גבינות ורוטבים, לחליטת תה","שמש, הצללה חלקית",,2,https://cdn.store.link/products/galednp/pgzios-%D7%9E%D7%A8%D7%95%D7%95%D7%94%20%D7%A8%D7%A4%D7%95%D7%90%D7%99%D7%AA.jpg?versionId=fv8t8OG_iOIXDew_BaHt3hDF51MN.06A,,,
עשב לימון,תבלינים,,80 סמ,שופעת,"שתילה במיכל, גינה, העלים לחלחטת תה, לתיבול מאכלי דגים,מרקים, רטבים",שמש מלאה. צל קל,,9,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/YosriNov04Pokok_Serai.JPG/640px-YosriNov04Pokok_Serai.JPG,,,
,תבלינים,,עד 30 סמ,שופעת וסדירה,"מיכל, כיסוי שטח בגינה,  העלים - לבשר, דגם,לסלטים, חליטת תה ומשקעטת קרים","שמש ישירה, הצללה חלקית",,0,,,,
נענע ,תבלינים,,60 סמ',שופעת וסדירה,"העלים - לחליטת תה, למשקעות קרים, לרטבים ולסלטים","שמש ישירה, הצללה חלקית",,0,https://al-haderech.co.il/wp-content/uploads/2020/08/IMG_9926-scaled.jpg,,,
זעתר -אזובית מצויה,תבלינים,,40 סמ',בינונית עד מועטה,"גינה חסכונית במים, נסלעה",שמש ישירה,,0,"https://seedsfromzion.co.il/wp-content/uploads/2021/07/Majorana-syriaca-7.jpg
",,,
עירית בצלית,תבלינים,,30 סמ',בינונית,"עציצים, גינת תבלינים","שמש, צל חלקי",,0,https://cdn.store.link/products/galednp/t8zcpj-%D7%A2%D7%99%D7%A8%D7%99%D7%AA%20%D7%91%D7%A6%D7%9C%D7%99%D7%AA.png?versionId=pHAAqHfz4FW7.i2txQK3fubRuM37FdnT,,,
ריחן הבזיל רב שנתי,תבלינים,,עד 1 מ',בינונית עד מרובה,גינת תבלינים,"שמש, הצללה חלקית",,0,https://cdn.store.link/products/galednp/o0u8ja-20180423_183136%20%D7%91%D7%96%D7%99%D7%9C%D7%99%D7%A7%D7%95%D7%9D%20%D7%A8%D7%91-%D7%A9%D7%A0%D7%AA%D7%99%20%D7%90.jpg?versionId=NDuAMB38fkjyG7yztQJseGyVFf_1eD6R,,,
אורנית לוהבת,מטפסים לגינה,,ענפים עד 5 מ',בינונית,"גדר, פרגולה,מסלעה, קיר תומך",שמש,,0,https://cdn.store.link/products/galednp/lci1ae-%D7%90%D7%95%D7%A8%D7%A0%D7%99%D7%AA%20%D7%9C%D7%95%D7%94%D7%91%D7%AA.jpg?versionId=US0VoDG4vgTtjaMX_CejK78E5IyZsOEF,,,
פורטולקה,עונתיים קיץ,,20 סמ',בינונית,"ערוגה, מיכל",שמש ,,0,https://cdn.store.link/products/galednp/j6gzyb-img_20210315_172628%20%D7%A4%D7%95%D7%A8%D7%98%D7%95%D7%9C%D7%A7%D7%94.jpg?versionId=YJbkTNnoJbuMBELVMLpk9nSVlWjDduT2,,,
חמניה ננסית,עונתיים של קיץ,,עד 30 סמ',בינונית,"גינה, עציצים, עדניות",שמש,,0,https://cdn.store.link/products/galednp/erez0n-img_20210524_183120%D7%97%D7%9E%D7%A0%D7%99%D7%99%D7%AA%20%D7%A0%D7%95%D7%99%20%D7%A0%D7%A0%D7%A1%D7%99%D7%AA.jpg?versionId=rndLOIxaNvF8tGpfxFN2lbMwCXncQhPj,,,
פטוניה גבוה,עונתיים של קיץ,,עד 50 סמ',בינונית - מרובה,"גינה, עציצים, עדניות",שמש,,,https://cdn.store.link/products/galednp/vppg8--img_20220531_104744%D7%A4%D7%98%D7%95%D7%A0%D7%99%D7%94%20%D7%92%D7%91%D7%95%D7%94.jpg?versionId=LLqpmJcKz_2E2Zw4olKReA0a9RdL9AGO,,,
פטוניה תערובת צבעים,עונתיים של קיץ,,עד 20 סמ',בינונית - מרובה,"גינה, עציצים, עדניות",שמש,,,https://cdn.store.link/products/galednp/-c3z1h-%D7%A4%D7%98%D7%95%D7%A0%D7%99%D7%94%20%D7%9E%D7%99%D7%A7%D7%A1%20%D7%90.jpg?versionId=CO0ukXIA_dX145_As1bqkHQl83Gjx7_1,,,
פנסטמון,,,,,,,,,https://cdn.store.link/products/galednp/4eayqj-img_20190910_093841%20%D7%A4%D7%A0%D7%A1%D7%98%D7%9E%D7%95%D7%9F.jpg?versionId=VyEW3Zy1SlGV8pKEG9rJLUHQgv2iDfu2,,,
גרמית צהובה,רב שנתיים,,עד 50 סמ,בינונית,"גינה, מרפסת","שמש, הצללה קלה",,0,https://cdn.store.link/products/galednp/-ea77e-img_20210315_175310%20%D7%92%D7%A8%D7%9E%D7%99%D7%AA%20%D7%A6%D7%94%D7%95%D7%91%D7%94.jpg?versionId=hXOsDpysKlBio.SYCd4ZtK3Eb3l3aFaY,,,
בת אביב,שיחים,,1.5 מ',בינונית,"מרפסת מוארת במיכל, ערוגת מוצלת",הצללה חלקית חובה,,0,https://cdn.store.link/products/galednp/6p1u91-%D7%90%20%D7%91%D7%AA%20%D7%90%D7%91%D7%99%D7%91.jpg?versionId=WcqphwVfT9hDeuIjpJMfa04HhU_uvuKe,,,
גזניה אשונה,,,,,,,,,https://cdn.store.link/products/galednp/d0w-rv-img_20220328_151707%D7%92%D7%96%D7%A0%D7%99%D7%94%20%D7%90%D7%A9%D7%95%D7%A0%D7%94.jpg?versionId=BwN6enqGx_aSxI5iqyeBBdsHC6nE2smh,,,
,,,,,,,,,https://cdn.store.link/products/galednp/uoau-2-img_20220627_151149%20%D7%A1%D7%99%D7%A1%D7%98%D7%A1%D7%99%D7%94.jpg?versionId=yl8VVyq2J3GQk0mWmlfFBxQblr17x9Jo,,,
גרניום צרפתי ורוד,רב שנתיים,,50 סמ',בינונית סדירה,"עציץ, מיכל, גינה",צל חלקי,,2,https://cdn.store.link/products/galednp/flte5s-%D7%92%D7%A8%D7%A0%D7%99%D7%95%D7%9D%20%D7%A6%D7%A8%D7%A4%D7%AA%D7%99%2021.4.18%20628.jpg?versionId=tiL6cJh27H1RWPnCXXHCaT.5vXSZojJF,,,
פטוניה מפלית,,,,,,,,,https://cdn.store.link/products/galednp/eaatge-%D7%A4%D7%98%D7%95%D7%A0%D7%99%D7%94%20%D7%9E%D7%A9%D7%AA%D7%A4%D7%9C%D7%AA.jpg?versionId=vUpekyc.RXe4zIH8UKn54HXz5qGCWpgC,,,
קלה פרח מגוון,,,,,,,,,https://cdn.store.link/products/galednp/vvesr9-%D7%A7%D7%9C%D7%94%20%D7%9E%D7%92%D7%95%D7%95%D7%A0%D7%AAimg_20220529_192513.jpg?versionId=gu7Z9np.m..P0mV03XbVFjB6R0rpGJ9q,,,
פרח שרימפס,רב שנתיים,,עד 60 סמ',בינונית,קבוצות בגינה,צל חלקי,,0,https://cdn.store.link/products/galednp/8jjwes-%D7%90%20%D7%A4%D7%A8%D7%97%20%D7%A9%D7%A8%D7%99%D7%9E%D7%A4%D7%A1.jpg?versionId=_E0B425I1IhC3J_2p2SbEU5UuxDluF2k,,,
בשמת השולטן,עונתיים לקיץ,,עד 40 סמ',"בינונית עד מרובה, ניקוז טוב","ערוגה, מיכלים",ציל חלקי,,0,https://cdn.store.link/products/galednp/p0naz1-img-20191213-wa0004%20%D7%91%D7%A9%D7%9E%D7%AA%20%D7%94%D7%A9%D7%95%D7%9C%D7%98%D7%9F.jpg?versionId=PQOS9Iue_jzJK8mVfXJKouYfToiIDBpC,,,
בת שבע מגוונת,צמחי בית ומרפסת,,,,,,,,https://cdn.store.link/products/galednp/fo-n82-20240518_190722.jpg?versionId=rwvbOd09b4.V4zHTrHQ.Ylsm.oitFjll,,,
חרצית  פרח מלא,רב שנתיים,,40 סמ',בינונית עד רבה,"עציץ,, גינה","שמש, הצללה חלקית",,0,https://cdn.store.link/products/galednp/45gr0g-%D7%97%D7%A8%D7%A6%D7%99%D7%95%D7%AA%20%D7%9E%D7%9B%D7%9C%D7%95%D7%90%20%D7%90.jpg?versionId=ub4eGoJ2seVrmSUzQjBDakPLtw9uzWBh,,,
ניצחה שיחית,סוקולנטים,,עד 1מ',בינונית - מועטה,עציץ,"שמש, הצללה חלקית",,0,https://cdn.store.link/products/galednp/tvm1b5-img_20210408_170438%20%D7%A0%D7%99%D7%A6%D7%97%D7%94%20%D7%A9%D7%99%D7%97%D7%99%D7%AA.jpg?versionId=akGOuYbl2cpLw1Pe8Vv0Vv3.Z0lvWA4o,,,
דרצנה מגוונת,צמחי בית ומרפסת,,,,,,,,https://cdn.store.link/products/galednp/4n2ur2-img_20180819_132757%20%D7%93%D7%A8%D7%A6%D7%90%D7%A0%D7%94%20%D7%9E%D7%92%D7%95%D7%95%D7%A0%D7%AA.jpg?versionId=.u8r9T_si7XlTjtJ0G0HuORZ5fi8740E,,,
בשמת גינאה החדשה,רב שנתיים,,35 סמ',בינונית,"גינה, מיכל",הצללה חלקית,,0,https://cdn.store.link/products/galednp/-cl1hl-img_20220612_120906%20%D7%91%D7%95%D7%A9%D7%9E%D7%AA%20%D7%92%D7%99%D7%A0%D7%90%D7%94%20%D7%94%D7%97%D7%93%D7%A9%D7%94%20%D7%90.jpg?versionId=EoKtiwXIcLhJ6ppCnBxlZq7tNBCPlBsI,,,
פיגם מצוי,תבלינים,,,,,,,,https://cdn.store.link/products/galednp/0kqezl-20180428_132409%20%D7%A4%D7%99%D7%92%D7%9D%20%D7%9E%D7%A6%D7%95%D7%99.jpg?versionId=9EPmXsn9UKkX6kNE4yj3t5G13pda8tSt,,,
אנטיגון דק עוקצים,מטפסים לגינה,,"ענפים עד 8-10 מ', מטפס נכרך\נשען, פריחה ריחנית",בינונית עד מרובה,"גדרות, מסלעות, פרגולות, פריחה ריחנית",שמש,,2,https://cdn.store.link/products/galednp/5icngc-%D7%90%D7%A0%D7%98%D7%99%D7%92%D7%95%D7%9F%20%D7%93%D7%A7%20%D7%A2%D7%95%D7%A7%D7%A6%D7%99%D7%9D%20%D7%90.jpg?versionId=NoS3rj1gKPZekSFvOYoBLfz7XbHbyq2h,,,
שיפלרה שיחנית,צמחי בית ומרפסת,,עד 2 מ',בינונית,צמח עציץ וגינה,שמש עד הצללה חלקית,,0,https://cdn.store.link/products/galednp/dz8d03-20240721_200018%20%D7%A9%D7%A4%D7%9C%D7%A8%D7%94%20%D7%90.jpg?versionId=QIGdQ7UWWZYBHDOpGhS.Xt0Wb6DgtJQX,,,
קליסיה זוחלת,רב שנתיים,,עד 20 סמ',בינונית עד רבה,"עציצים, תליה, כיסוי שטח בגינה","שמש, צל חלקי",,0,https://cdn.store.link/products/galednp/v4cfkg-%D7%A7%D7%9C%D7%99%D7%A1%D7%99%D7%94%20%D7%96%D7%95%D7%97%D7%9C%D7%AA%20%D7%90.jpg?versionId=hh2dSSefL.nqV3_u8Uo0pXQYNKQQR1Jb,,,
תונברגיה מכונפת מיקס צבעים,מטפסים לגינה,,"ענפים עד 4 מ', זקוק ללתמחכה",מרובה,"ליג גדר, שבכה, עמוד","שמש, צל חלקי",,0,https://cdn.store.link/products/galednp/rdrkwg-20240615_095151%20%D7%90%20%D7%A1%D7%95%D7%96%D7%99%20%D7%A6%D7%94%D7%95%D7%91%D7%94%20.jpg?versionId=0oJIvLpr9m7nclGSEUi8rT_p9Th66oac,,,
חרצית קרינית,עונתיים חורף - אביב,,0.8 מ',בינונית,ערוגה פורחת,שמש ישירה,,0,https://cdn.store.link/products/galednp/rs5kfw-plant-4553-big%20%D7%97%D7%A8%D7%A6%D7%99%D7%AA%20%D7%A7%D7%A8%D7%99%D7%A0%D7%99%D7%AA%20%D7%90.jpg?versionId=TOvcSBeB3x0TzXncYRqCqiQXQioGGj8K,,,
איטרופה תמימה,שיחים,,3-4 מ,בינונית סדירה,"שיח גדול בגינה, מסוכה","שמש, צל חלקי",,0,https://cdn.store.link/products/galednp/hdjab7-20240923_132647%20%D7%99%D7%AA%D7%A8%D7%95%D7%A4%D7%99%D7%AA%20%20%D7%AA%D7%9E%D7%99%D7%9E%D7%94%20%D7%90.jpg?versionId=LSEu86sJU8y2MXw0Txz22UmDr3KmMafU,,,
גרדניה יסמינית,שיחים,,עד 3 מ',בינונית עד רבה ,"גינה, צמח מיכל",צל חלקי,,0,https://cdn.store.link/products/galednp/3ui8p4-20240923_132943%20%D7%92%D7%A8%D7%93%D7%A0%D7%99%D7%94%20%D7%99%D7%A1%D7%9E%D7%99%D7%A0%D7%99%D7%AA%20%D7%90.jpg?versionId=UNFPzz0Qd52aKS0dGuIQgJsWSmxRLW4s,,,
"רוזמרין רפואי ""זוחל""",שיחים,,משתרע או משתפל ענפים עד 60 סמ',בינונית עד מועטה,"מעל קירות תמך, מסלעות, מדרונות",שמש,,0,https://cdn.store.link/products/galednp/yjmtxe-20240923_133157%20%D7%90%20%D7%A8%D7%95%D7%96%D7%9E%D7%A8%D7%99%D7%9F%20%D7%A8%D7%A4%D7%95%D7%90%D7%99%20%D7%96%D7%95%D7%97%D7%9C.jpg?versionId=mSC3CZD.Awg3WwWgcjkWWdR13dvcab4J,,,
מוריה מכבדית,שיחים,,2 - 3 מ',מועטה - בינונית ,"קבוצות, מסוכות",,,,https://cdn.store.link/products/galednp/nj0e43-20240727_075341%20%D7%9E%D7%95%D7%A8%D7%99%D7%94%20%D7%9E%D7%9B%D7%91%D7%93%D7%99%D7%AA%20%D7%90.jpg?versionId=oVTo6g411OlxJkN_0W5a43EWRWx9ElZU,,,
תות שדה,פרות יער,,30 סמ',,,,,11,https://cdn.store.link/products/galednp/j46ahr-%D7%AA%D7%95%D7%AA%20%D7%A9%D7%93%D7%94%20%D7%90.jpg?versionId=i3UuJJT9XdAZCH.8JfX4FEzi1ynKaKtY,,,
לנטנה ססגונית אדומה,שיחים,,"עד  ,1.5מ'",בינונית ,"קבוצות, מסוכות ","שמש, הצללה",,,https://cdn.store.link/products/galednp/ssxeib-%D7%9C%D7%A0%D7%98%D7%A0%D7%94%20%D7%90%D7%93%D7%95%D7%9E%D7%94%20%D7%90.jpg?versionId=MfvXKMBK.KwzARvHh2tA0_KSiGQ5RKe9,,,
לנטנה ססגונית צהובה,שיחים,,עד 1.5 מ',בינונית ,"קבוצות, מסוכות ","שמש, הצללה",,2,https://cdn.store.link/products/galednp/wc0uzf-%D7%90%20%D7%9C%D7%A0%D7%98%D7%A0%D7%94%20%D7%A6%D7%94%D7%95%D7%91%D7%94.jpg?versionId=82qucvopmoba9kgyliFMzvCnMTVIDnCd,,,
לוביליה כחולה,עונתיים של חורף - אביב,,,,,,,,https://cdn.store.link/products/galednp/ono9-t-img_20210608_182119%20%D7%9C%D7%95%D7%91%D7%99%D7%9C%D7%99%D7%94%20%D7%9B%D7%97%D7%95%D7%9C%D7%94%20%D7%90.jpg?versionId=6Iew5zKoVswamUbdFY73DNXmcMj.Ve7s,,,
לוע הארי ,עונתיים של חורף - אביב,,,,,,,,https://cdn.store.link/products/galednp/zz1jih-20240927_114255%20%D7%9C%D7%95%D7%A2%20%D7%94%D7%A8%D7%99%20%D7%A6%D7%99%D7%A0%D7%95%D7%A8%D7%99%D7%AA%D7%99%20%D7%90.jpg?versionId=okxjN0HMHBYZbygMSoLm17sDBEGSnODg,,,
לוביליה לבנה,עונתיים של חורף - אביב,,,,,,,,https://cdn.store.link/products/galednp/ky7iec-20240907_103542%20%D7%9C%D7%95%D7%91%D7%99%D7%9C%D7%99%D7%94%20%D7%9C%D7%91%D7%A0%D7%94%20%D7%90.jpg?versionId=RpBcSwVQwcdJfCJA.PSW0mDoGoD8QgVO,,,
לוע הארי מיקס צבעים,עונתיים של חורף - אביב,,עד 30 סמ',בינונית ,"ערוגה, מיכל","שמש, הצללה חלקית",,5,https://cdn.store.link/products/galednp/qgv3xh-img_20210501_183154%20%20%D7%90%20%D7%9C%D7%95%D7%A2%20%D7%94%D7%90%D7%A8%D7%99.jpg?versionId=n4lAmQAAurS4.wAG98CzhT8mj.dLhADg,,,
אמנון ותמר פרח גדול,עונתיים של חורף - אביב,,עד20 סמ',בינונית עד רבה,"ערוגה, מיכל","שמש, הצללה חלקית",,12,https://cdn.store.link/products/galednp/zsoshe-20240926_171845%20%D7%90%D7%9E%D7%A0%D7%95%D7%9F%20%D7%95%D7%AA%D7%9E%D7%A8%20%D7%90.jpg?versionId=uVxq23h8yj12qr8dqnXw6ykZ7N3aya6V,,,
סלסלי כסף סגול -לבן,עונתיים של חורף - אביב,,עד 15 סמ',בינונית סדירה,"ערוגה, מיכל, סלסלי תליה","שמש, הצללה חלקית",,0,https://cdn.store.link/products/galednp/b0avtu-img_20210417_165748%20%20%D7%90%20%D7%A1%D7%9C%D7%A1%D7%9C%D7%99%20%D7%9B%D7%A1%D7%A3%20%D7%A1%D7%92%D7%95%D7%9C.jpg?versionId=c_XoLRIt5OVxNkuEXEJmsn5gsmLWWRbv,,,
בת חן,עונתיים של חורף - אביב,,עד 20 סמ',בינונית עד רבה,"ערוגה, מיכל","שמש, הצללה חלקית",,0,https://cdn.store.link/products/galednp/26yyg1-img_20210315_152422%20%D7%91%D7%AA%20%D7%97%D7%9F%20%D7%9C%D7%91%D7%A0%D7%94%20%D7%90.jpg?versionId=Wn9KPr48UjSstf3gEXJukStPpw1regln,,,
כרוב נוי,עונתיים של חורף - אביב,,,,,,,,https://cdn.store.link/products/galednp/hzloso-%D7%9B%D7%A8%D7%95%D7%91%20%D7%A0%D7%95%D7%99img_20220326_180644%20%D7%90.jpg?versionId=zLHuN4cKK30ptX3X0h3v0f0gvpSGxyFs,,,
גודציה,עונתיים של חורף - אביב,,,,,,,,https://cdn.store.link/products/galednp/3h4l89-%D7%92%D7%95%D7%93%D7%A6%D7%99%D7%94%20%D7%92%D7%93%D7%95%D7%9C%D7%AA%20%D7%A4%D7%A8%D7%97%D7%99%D7%9D%20%D7%90.jpg?versionId=v6ElmYxWfEtDPmaSdBuYxmNiwZkw3_1p,,,
סלסלי כסף לבן,עונתיים של חורף - אביב,,20 סמ',בינונית,"סלסלי תליה, ערוגות פרחים","שמש, צל חלקי",,0,https://cdn.store.link/products/galednp/1t6-zz-20240927_113944%20%D7%A1%D7%9C%D7%A1%D7%9C%D7%99%20%D7%9B%D7%A1%D7%A3%20%D7%90.jpg?versionId=xnGXZZc9A3QsOlWPxb31SsKCVxg55E_N,,,
פילודנדרון מטפס,צמחי בית ומרפסת,,עד 3 מ',בינונית עד מועטה,עציץ,צל חלקי עד מלא,,0,https://cdn.store.link/products/galednp/nwvmcu-img_20201104_081640%20%D7%A4%D7%99%D7%9C%D7%95%D7%93%D7%A0%D7%93%D7%A8%D7%95%D7%9F%20%D7%9E%D7%98%D7%A4%D7%A1%20%D7%90.jpg?versionId=OGOeTjNEeDnB7s17MUSlGDb8h4inUO9w,,,
סינגוניום מגוון,צמחי בית ומרפסת,,עד 50 סמ',בינונית,עציץ,ללא שמש ישירה,,0,https://cdn.store.link/products/galednp/xk3t9v-%D7%A1%D7%99%D7%A0%D7%92%D7%95%D7%A0%D7%99%D7%95%D7%9D%20%D7%A4%D7%99%D7%A7%D7%A1%D7%99%20%D7%90.jpg?versionId=ram9Zh1WsGpujKnhNUxxiw2hLcrNbxuH,,,
