Name,Category,Price,גובה,השקיה,שימושים,Tag,Description,Stock,Thumbnail,תמונה,,
צורית נוסבאום,סוקולנטים,,30 סמ',"השקיה מועטה, עמיד ליובש","עציץ, גינה, תליה",שמש מלאה עד צל חלקית,,1,https://lh6.googleusercontent.com/proxy/kEWUg7SGnvtmO9S5cNo4yycKNSx7_wnjU-4NBB_I0uBoKMJEZY2lIfXikhbzE4Dc9YRX5OP1SRsycAvj6PtMSXtV_MrtVA7kNwi8lDncYhf3dnhnHnI19yx82jcxYBU7QqXXc3iLlxM5KcwYwSvvY_9pptB47JTlZ3Ij,,,
צורית עכו,סוקולנטים,,עד 8 סמ',מועטה,"כיסוי קרקע, עציצים תלוים","שמש מלאה, הצללה חלקית",,4,https://cdn.store.link/products/galednp/i18wa6-img_20210428_175850%20%28%D7%A7%D7%98%D7%9F%29%D7%A6%D7%95%D7%A8%D7%99%D7%AA%20%D7%A2%D7%91%D7%95.jpg?versionId=SuRjWUejG8uiyN3P1Cbg5nUjZ5GDqT7Q,,,
אלוי עצי ,סוקולנטים,,עד 2-3 מ',מועטה,"צמח עציץ, קבוצות בגינה",,,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Aloe_arborescens_Compton.JPG/1200px-Aloe_arborescens_Compton.JPG,,,
אלוי יקנדה,סוקולנטים,,עד 10 סמ',מועטה,צמח עציץ,"שמש, צל חלקי",,0,https://cdn.store.link/products/galednp/im8429-%D7%A2%D7%9C%D7%95%D7%99%20%D7%9B%D7%95%D7%9B%D7%91.jpg?versionId=k_G_LJInKdWIO99hhXMFtRk40EX6.ovH,,,
סנסיווריה (כידונן) תלת-פסי,סוקולנטים,,50סמ',"מועטה עד בינונית, ניקוז טוב","צמח עציץ, מיכל, גינה מוצלת","אור, צל  עד ללא אור טביעי",,0,https://cdn.store.link/products/galednp/x-eprf-img_20200827_091919%20%D7%A1%D7%A0%D7%A1%D7%99%D7%95%D7%95%D7%99%D7%A8%D7%99%D7%94%20%D7%99%D7%A8%D7%95%D7%A7%D7%94.jpg?versionId=Vy65iLqOn3UGNgVTrk39bmBa4lvMx2QQ,,,
פפרומיה פרי,סוקולנטים,,30 סמ',בינונית,צמח עציץ,צל חלקי,,0,https://cdn.store.link/products/galednp/0g9k7a-20230502_102952.jpg?versionId=dGd2dnUf6bGtNgnvVyWm8IMWbipkV3Jy,,,
עץ שפע,סוקולנטים,,עד 1 מ',מועטה,"עציצים, מיכלים",שמש ישירה עד צל מלא,,0,https://cdn.store.link/products/galednp/x4nixm-20180428_130031%20%D7%A2%D7%A5%20%D7%A9%D7%A4%D7%A2%20%20%D7%90%205.jpg?versionId=SLcZi7JEEYCBFOD_wYzPXl2unO5.tSZm,,,
אמנון ותמר ננסי,עונתיים של חורף,,,,,,,0,https://cdn.store.link/products/galednp/gs7w87-1%D7%90%D7%9E%D7%A0%D7%95%D7%9F%20%D7%95%D7%AA%D7%9E%D7%A8%20%D7%A0%D7%A0%D7%A1%D7%99%20%D7%90.jpg?versionId=BPrLXRX8xdBQ8Pts5KZraKrVR3mbypPx,,,
אנגלוניה צרת עלים,עונתיים של קיץ,,30 סמ',בינונית,"מיכל, גינה","שמש ישירה, הצללה חלקית",,0,https://www.organi-co.co.il/wp-content/uploads/angelonia-angustifolia-1200x675.jpg,,,
טגטס זקוף,עונתיים לקיץ,,25 סמ',בינונית,"גינה, מיכל","שמש, הצללה חלקית",,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSR-xqqimVv178Im1ny2UAzBAmNcLtqdOp-1N1GXYpJVjTnaiWl,,,
בשמת שולטן,רב שנתיים,,40 סמ,בינונית עד מרובה ,"גינה, עציצים","שמש ישירה, הצללה חלקית",,0,https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/impatiens-walleriana-lollipop-fruitpunch-rose.jpg_.JPG?itok=W9CGy0Jj,,,https://cdn.store.link/products/galednp/nol7os-img_20180814_194323_hht%20%D7%A2%D7%99%D7%A8%D7%99%D7%AA%20%D7%A9%D7%95%D7%9E%D7%99%D7%AA.jpg?versionId=Otn9YylK_uHAV4mcoto_lpZjmYP2MIeA
אנגלוניה,רב שנתיים,,עד 30,בינונית,"ערוגות, עציצים, מיכלים","שמש, הצללה חלקית",,0,https://cdn.store.link/products/galednp/grudj7-20240702_194718%20%20%D7%90%20%D7%90%D7%A0%D7%92%D7%9C%D7%95%D7%A0%D7%99%D7%94.jpg?versionId=RxdgTJ8Boayxa7HYZVUtfekoFfhm952g,,,
תותי יער,פירות יער,,עד 30 סמ',"מרובה, ניקוז טוב",גידול בעציץ או בגינה. מניב פרות בקיץ,צל חלקי,,0,https://www.fruit.co.il/wp-content/uploads/2023/07/WhatsApp-Image-2023-09-14-at-10.35.04.jpeg,,,
אוזן פיל,צמחי בית ומרפסת,,עד 1 מ',"מרובה, ניקוז טוב",צמח עציץ,צל חלקי,,0,https://cdn.store.link/products/galednp/n2-joy-20240616_122944%20%D7%90%D7%95%D7%96%D7%9F%20%D7%A4%D7%99%D7%9C.jpg?versionId=ToEB7NEOwLUd68OKCT3MamLujcGNEwVs,,,
בגוניה שיחית פרח לבן,צמחי בית ומרפסת,,70 סמ',בינונית,צמח עציץ,צל חלקי ומלא,,0,https://cdn.store.link/products/galednp/3-a9jp-%D7%91%D7%92%D7%95%D7%A0%D7%99%D7%94%20%D7%A9%D7%99%D7%97%D7%99%D7%AA%20%D7%A4%D7%A8%D7%97%20%D7%9C%D7%91%D7%9F.jpg?versionId=u2Xwu2lfwx.MAf5CjMkpqVpzFp4rHCdn,,,
גפנית תלייה,צמחי בית ומרפסת,,צמח נשפך,"מרובה, ניקוז טוב","עציצים תלוים, גינה, כיסוי גדר",עוצמת אור נמוכה,,0,https://cdn.store.link/products/galednp/vvyea1-%D7%92%D7%A4%D7%A0%D7%99%D7%AA%20%D7%AA%D7%9C%D7%99%D7%99%D7%94%20%D7%90.jpg?versionId=X58SANo6eqaMtUXK8bDGK5vUHb4wFyC_,,,
ירקה מצויצת,צמחי בית ומרפסת,,30 סמ',בינונית-מרובה,"תליה, מיכל, צמח בית במקום מואר מאוד, כיסוי שטח מוצל",הצללה חלקית או מלאה,,0,https://cdn.store.link/products/galednp/cd2tuo-20240518_190345%20%D7%99%D7%A8%D7%A7%D7%94%20%D7%9E%D7%A6%D7%95%D7%99%D7%A6%D7%AA.jpg?versionId=keZdSS4PkdrhrGcM2cvl9YHVhyL6Hydx,,,
פפרומיה מגניפוליה,צמחי בית ומרפסת,,עד 40 סמ' ,מועטה - כאשר פני האדמה בעציץ יבשים,"עציץ, תליה, מקום עם תאורת פלוריסנט",צל חלקי עד ללא אור טביעי,,0,https://cdn.store.link/products/galednp/668n0h-%D7%A4%D7%A4%D7%A8%D7%95%D7%9E%D7%99%D7%94%20%D7%9E%D7%92%D7%A0%D7%99%D7%A4%D7%95%D7%9C%D7%99%D7%94img_20201202_154143%20%D7%92%D7%93%D7%95%D7%9C%D7%94%20%D7%90.jpg?versionId=ngk.NLz.5P8S_tHWk7ndwodnq8IVwCAE,,,
פלקטרנתוס מדגסקרי,צמחי בית ומרפסת,,עד 40 סמ'. ענפים משתפלים עד 1מ,בינונית עד מרובה,מניב פרות בקיץ,צל חלקית עד צל מלא,,0,https://cdn.store.link/products/galednp/mhglme-%D7%A4%D7%9C%D7%A7%D7%98%D7%A8%D7%A0%D7%98%D7%95%D7%A1%20%D7%9E%D7%93%D7%92%D7%A1%D7%A7%D7%90%D7%A8%D7%99img_20211112_164412.jpg?versionId=YJYEmcP4I9y9lJWvedqSCEKTqMeaxTlf,,,
פלקטרנתוס מדגסקרי מגוון,צמחי בית ומרפסת,,30 סמ',בינונית - מועטה ,"מיכל, סלסילה תלויה, כיסוי שטח בגינה",צל חלקית עד צל מלא,,5,https://cdn.store.link/products/galednp/dblpgw-%D7%A4%D7%9C%D7%A7%D7%98%D7%A8%D7%A0%D7%98%D7%95%D7%A1%20%D7%9E%D7%93%D7%92%D7%A1%D7%A7%D7%90%D7%A8%D7%99%20%D7%9E%D7%92%D7%95%D7%95%D7%9F%20.jpg?versionId=oyD1.H5U8PCXwnuKHHHi_VyH.ntqMVhR,,,
סנגוניום ורוד,צמחי בית ומרפסת,,"עד50 סמ' , ענפים משתפלים",בינונית,צמח עציץ,"פנים- מואר, חוץ - מוצל",,0,https://cdn.store.link/products/galednp/byoc7n-20230727_085559%20%D7%91%20%D7%A1%D7%99%D7%A0%D7%92%D7%95%D7%A0%D7%99%D7%95%D7%9D%20%D7%95%D7%A8%D7%95%D7%93.jpg?versionId=SIMfurSTYswEff.imyYO_Fk9oNEYBmTX,,,
יהודי נודד נאנוק,צמחי בית ומרפסת,,עד 30 סמ,"מועטה, רגיש לקרה וליובש","עציץ, תליה, מקום עם תאורת פלוריסנט",צל  עד צל מוחלט,,1,https://cdn.store.link/products/galednp/250b21-%D7%A0%D7%90%D7%91%D7%95%D7%A720221201_082222.jpg?versionId=wNJ6h9In7q1MSsd3_lpz10dyiURQif1m,,,
יהודי נודד שעיר,צמחי בית ומרפסת,,עד 30 סמ',בינונית עד מרובה,"עציצים, גינה","שמש, הצללה חלקית",,0,https://cdn.store.link/products/galednp/g157bw-%D7%99%D7%94%D7%95%D7%93%D7%99%20%D7%A0%D7%95%D7%93%D7%93%20%D7%A9%D7%A2%D7%99%D7%A8.jpg?versionId=nDyIf4VoIbjOjrjPJcixgyi.fqNO9aCg,,,
שרך בוסטון,צמחי בית ומרפסת,,עד 50 סמ',בינונית עד מועטה,"עציצים, תליה, גינה מוצלת",צל חלקי עד צל מוחלט,,0,https://cdn.store.link/products/galednp/xadetv-%D7%A9%D7%A8%D7%A3%20%D7%91%D7%95%D7%A1%D7%98%D7%95%D7%9F.jpg?versionId=45NbH_kDOzawrWfEOnDigWz5b1on_mfa,,,
שרך יער נורווגי,צמחי בית ומרפסת,,עד 50 סמ',בינונית עד מועטה,"עציצים, תליה, גינה מוצלת",צל חלקי עד צל מוחלט,,0,https://cdn.store.link/products/galednp/ljcq9p-%D7%A9%D7%A8%D7%9A%20%D7%99%D7%A2%D7%A8%20%D7%94%D7%95%D7%9C%D7%A0%D7%93%D7%9920240518_191343.jpg?versionId=EFrOrpHPwfp9BS7Ge6jQTE0iO.X5pymF,,,
ספטיפילום,צמחי בית ומרפסת,,עד 50 סמ',"מרובה, ניקוז טוב",עציץ,אור לא שמש ישירה,,0,https://cdn.store.link/products/galednp/w4asql-%D7%A1%D7%A4%D7%98%D7%99%D7%A4%D7%99%D7%9C%D7%95%D7%9D%20%D7%90.jpg?versionId=is7LBVy1o3g.5L4BMdptpFeYFTnEh4dg,,,
